Method,ACR_Count,Total_Trajectories,ACR_Percentage
SINDy,92,100,0.92
HANDI,100,100,1.00
PSE,38,100,0.38
gEDMD,86,100,0.86
wSINDy,100,100,1.00
SR3,92,100,0.92
