Method,NPPI_Average
EDMD,0.00000000e+00
SINDy,4.60120494e-01
HANDI,9.98280988e-01
PSE,8.34648712e-01
gEDMD,0.00000000e+00
wSINDy,4.49122287e-01
SR3,8.69409299e-01
