Method,NPPI_Average
EDMD,0.00000000e+00
SINDy,5.72422852e-01
HANDI,8.54611186e-01
PSE,4.76112208e-01
gEDMD,0.00000000e+00
wSINDy,3.17864670e-01
SR3,5.69157245e-01
