Method,MSE_Average
EDMD,2.48855150e+00
SINDy,5.39920864e-02
HANDI,2.68584321e-03
PSE,4.78128721e+01
gEDMD,6.97888206e-01
wSINDy,3.11899234e-05
SR3,1.16671549e-01
