Method,MSE_Average
EDMD,1.04241644e-01
SINDy,1.59641124e-02
HANDI,1.17015282e-04
PSE,5.55543032e+00
gEDMD,7.02724348e-02
wSINDy,2.77805556e-06
SR3,1.85689292e-02
