EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
inf,1.64548470e-02,1.98779097e-03,9.75313077e+01,1.05373881e-01,2.86672772e-05,6.58086788e-02
inf,1.45677579e-02,3.95515187e-03,1.09455729e+02,1.67657032e+00,3.91124542e-05,9.79426365e-02
inf,3.35910162e-01,5.13181994e-03,9.03211688e+01,inf,1.22407075e-03,4.55184046e-01
inf,4.39143160e-02,2.67385826e-03,9.55151695e+01,inf,7.72972775e-03,1.09056966e-01
inf,3.21962972e-02,4.24202399e-03,1.01292930e+02,inf,7.43755134e-03,2.42453884e-01
inf,3.07435923e-02,6.09625993e-03,1.08266553e+02,inf,2.01313149e-03,1.88343280e-01
inf,3.15428722e-02,3.16566726e-03,1.15019280e+02,1.23380744e-01,1.55781459e-05,1.32817527e-01
inf,4.55181536e-02,1.33664778e-03,1.22194918e+02,3.85469810e-02,8.28317763e-06,6.14448490e-02
inf,6.33928829e-02,9.86793172e-04,1.30455078e+02,5.04063690e-02,2.91347688e-05,4.98719736e-02
inf,5.20081745e-02,1.03261944e-03,1.40083513e+02,2.08411630e-02,8.00526336e-05,7.55821026e-02
inf,2.27986448e-02,1.72225584e-03,1.51844072e+02,1.75370415e-01,1.27040145e-04,1.12440514e-01
inf,1.25635638e-02,2.99316182e-03,1.66441411e+02,1.90692505e+00,1.42698137e-04,1.39869604e-01
