Method,MSE_Average
EDMD,2.02992055e+00
SINDy,6.67064649e-01
HANDI,8.31595164e-02
PSE,1.36962648e+02
gEDMD,5.22481892e-01
wSINDy,8.58963514e-02
SR3,4.77872893e-01
