Method,r2_Average
EDMD,5.88632224e-02
SINDy,6.90727268e-01
HANDI,9.61444560e-01
PSE,-6.25003107e+01
gEDMD,7.57760507e-01
wSINDy,9.60175675e-01
SR3,7.78442681e-01
