Method,MSE_Average
EDMD,7.38324361e-01
SINDy,1.08439462e-01
HANDI,1.59913667e-02
PSE,3.15029733e+00
gEDMD,2.51902260e-01
wSINDy,4.70543774e-02
SR3,1.53020900e-01
