Method,MSE_Average
EDMD,1.77453811e+00
SINDy,3.90545455e-01
HANDI,7.60425329e-02
PSE,5.96262959e+01
gEDMD,4.76670638e-01
wSINDy,8.29107277e-02
SR3,3.80387878e-01
