Method,MSE_Average
EDMD,9.44811910e-07
SINDy,1.98993262e-03
HANDI,4.28749889e-07
PSE,7.46677549e-13
gEDMD,1.23620174e-01
wSINDy,2.66300719e-08
SR3,1.98261112e-03
