Method,r2_Average
EDMD,9.99991237e-01
SINDy,7.73775413e-01
HANDI,9.99999516e-01
PSE,1.00000000e+00
gEDMD,5.68860542e-01
wSINDy,9.99999955e-01
SR3,7.73968859e-01
