Method,NPPI_Average
EDMD,9.99996330e-01
SINDy,9.05253318e-01
HANDI,9.99999797e-01
PSE,1.00000000e+00
gEDMD,8.19431506e-01
wSINDy,9.99999981e-01
SR3,9.05334337e-01
