SINDy,HANDI,PSE,gEDMD,SR3
3.99671451e-03,3.52313911e-06,4.27537873e-03,1.81510927e-01,3.85331777e-03
2.98831378e-03,8.73018124e-07,4.90492268e-03,2.35599531e-01,2.97436141e-03
2.82395902e-03,2.39691570e-07,5.29347135e-03,1.35973650e-01,2.86877992e-03
2.96238728e-03,1.22298692e-07,5.76498187e-03,4.84917364e-01,3.05364820e-03
3.24602760e-03,1.47016531e-07,6.30633386e-03,7.10358945e-01,3.35895820e-03
3.40117823e-03,2.56636098e-07,6.88021415e-03,5.38115979e-01,3.51022241e-03
3.23018798e-03,4.90673848e-07,7.36612852e-03,7.83631385e-01,3.31788108e-03
2.83542150e-03,9.70831040e-07,7.05343625e-03,7.36101616e-01,2.88049262e-03
2.64423984e-03,1.90289267e-06,5.31540943e-03,7.25470797e-01,2.61925541e-03
3.79120727e-03,3.64524739e-06,3.00579432e-03,5.80205044e-01,3.53072531e-03
2.72676582e-03,1.84580785e-06,6.32556998e-03,1.54002567e-01,2.62539903e-03
2.79571792e-03,4.02138960e-07,6.66224302e-03,3.51668656e-01,2.70748015e-03
3.40578515e-03,8.59510713e-08,6.21112449e-03,2.13462528e-02,3.36906628e-03
4.25422284e-03,2.79356707e-08,5.66859121e-03,1.30586978e-02,4.27515155e-03
4.92408948e-03,2.28796382e-08,5.33189905e-03,1.09564016e-02,4.98478752e-03
5.07171449e-03,3.59093319e-08,5.57258910e-03,9.98885086e-03,5.16344081e-03
4.58933116e-03,7.49090545e-08,6.56858188e-03,9.93802269e-03,4.70921277e-03
2.87020722e-03,8.87697530e-07,3.57134099e-03,7.66119079e-01,2.75359147e-03
2.83548119e-03,9.41345772e-07,6.92302415e-03,4.34546658e-01,2.80910833e-03
3.60777292e-03,1.74044661e-07,6.50447621e-03,1.71879229e-02,3.57290620e-03
4.95781314e-03,2.61924744e-08,4.84142944e-03,9.11510356e-03,4.93716124e-03
5.89119771e-03,4.34680310e-09,3.23881274e-03,8.21948084e-03,5.84743399e-03
5.99279637e-03,1.97227250e-09,2.31180607e-03,7.55508028e-03,5.92749060e-03
5.97984910e-03,3.02941341e-09,2.39854518e-03,7.35965936e-03,5.94648120e-03
5.96042941e-03,7.61855399e-09,3.88840309e-03,7.48413069e-03,6.01429366e-03
4.95399906e-03,2.70747597e-08,5.93782611e-03,7.03473759e-03,5.07384404e-03
3.13469357e-03,4.74961009e-07,6.43804538e-03,1.18763230e-02,3.17317060e-03
4.53788806e-03,7.30489036e-08,5.43719806e-03,7.56462615e-03,4.53353844e-03
5.94293271e-03,7.32706095e-09,2.92443739e-03,7.71990846e-03,5.88323931e-03
5.30628385e-03,3.19676565e-10,1.01711035e-03,6.20043195e-03,5.19306620e-03
3.60330480e-03,1.05238912e-10,3.22008102e-04,3.64006599e-03,3.52365151e-03
3.56708107e-03,3.00719778e-11,3.39674557e-04,3.63976008e-03,3.52061690e-03
5.32139221e-03,3.41696371e-10,1.40524287e-03,6.30842992e-03,5.33929598e-03
5.87122289e-03,4.58907718e-09,4.01088684e-03,7.31920252e-03,5.98541271e-03
3.23405053e-03,2.48859859e-07,5.73305128e-03,5.52899447e-03,3.27234841e-03
4.96382238e-03,3.52506909e-08,4.82466874e-03,6.19246360e-03,4.91763516e-03
5.96618622e-03,3.02377719e-09,2.05136787e-03,7.10480364e-03,5.84571318e-03
3.57525465e-03,3.02987541e-11,2.77928884e-04,3.64982888e-03,3.48651162e-03
7.95474059e-04,2.54679423e-10,3.88647750e-06,5.74324382e-04,7.85395895e-04
7.91627601e-04,2.54638255e-10,5.07611349e-06,5.72542816e-04,7.92644979e-04
3.60285722e-03,1.01979266e-10,3.79666737e-04,3.73473090e-03,3.65578438e-03
5.91920004e-03,2.04548592e-09,2.48727049e-03,7.41769375e-03,6.03049473e-03
4.73888156e-03,2.28719009e-08,5.06956077e-03,1.89356354e-02,4.80849953e-03
3.08346032e-03,1.43757977e-07,5.16274530e-03,5.13205102e-03,3.11145657e-03
4.80154462e-03,2.28719009e-08,5.06956077e-03,5.88651180e-03,4.73591762e-03
5.97697862e-03,2.04548592e-09,2.48727049e-03,7.02150238e-03,5.86541486e-03
3.61199232e-03,1.01979268e-10,3.79666737e-04,3.68443695e-03,3.56666498e-03
7.91200449e-04,2.54638255e-10,5.07611349e-06,5.78577805e-04,7.95604266e-04
7.94894385e-04,2.54679423e-10,3.88647750e-06,5.76198954e-04,8.13156842e-04
3.55478668e-03,3.02987528e-11,2.77928884e-04,3.77441087e-03,3.65240949e-03
5.88140091e-03,3.02377718e-09,2.05136787e-03,7.32370225e-03,5.99777322e-03
4.88896118e-03,3.52506909e-08,4.82466874e-03,1.00985562e-02,4.92411477e-03
2.83910937e-03,1.21640652e-07,4.62413766e-03,8.06647046e-03,2.87238091e-03
4.12669261e-03,2.84817050e-08,5.69479554e-03,6.78828031e-03,4.07998062e-03
5.81022963e-03,4.58907719e-09,4.01088684e-03,7.26444888e-03,5.73875366e-03
5.25208001e-03,3.41696374e-10,1.40524287e-03,6.17875733e-03,5.24404315e-03
3.53193336e-03,3.00719769e-11,3.39674557e-04,3.71966100e-03,3.58318068e-03
3.57158428e-03,1.05238910e-10,3.22008102e-04,3.69513687e-03,3.65428878e-03
5.23089053e-03,3.19676568e-10,1.01711035e-03,6.22932835e-03,5.34951265e-03
5.82138641e-03,7.32706096e-09,2.92443739e-03,6.91056160e-03,5.91319832e-03
4.44934337e-03,7.30489036e-08,5.43719806e-03,8.69026177e-03,4.44251914e-03
2.70015561e-03,2.41177596e-07,4.07160618e-03,1.79172558e-02,2.73694464e-03
3.22833136e-03,8.73719428e-08,6.09516700e-03,9.63610333e-03,3.19243517e-03
4.73790629e-03,2.70747597e-08,5.93782611e-03,6.84804847e-03,4.66525074e-03
5.72617321e-03,7.61855397e-09,3.88840309e-03,6.77393521e-03,5.67674600e-03
5.79463017e-03,3.02941340e-09,2.39854518e-03,6.82590134e-03,5.80160302e-03
5.82446580e-03,1.97227250e-09,2.31180607e-03,6.76992967e-03,5.86331961e-03
5.70437926e-03,4.34680310e-09,3.23881274e-03,6.53059185e-03,5.73751876e-03
4.76776054e-03,2.61924744e-08,4.84142944e-03,5.62605864e-03,4.76397648e-03
3.45084878e-03,1.74044661e-07,6.50447621e-03,8.77439956e-03,3.38701100e-03
2.84335932e-03,8.87697530e-07,3.57134099e-03,1.91129404e-01,2.89011077e-03
2.59196350e-03,4.08364140e-07,6.04307429e-03,2.05494655e-02,2.57489827e-03
3.35151021e-03,1.77587911e-07,7.23540152e-03,7.73290929e-03,3.29687316e-03
4.29395258e-03,7.49090545e-08,6.56858188e-03,5.69441856e-03,4.23368820e-03
4.78656887e-03,3.59093319e-08,5.57258910e-03,5.67571268e-03,4.74109853e-03
4.66157477e-03,2.28796382e-08,5.33189905e-03,5.22991848e-03,4.61480289e-03
4.01245357e-03,2.79356707e-08,5.66859121e-03,4.93804130e-03,3.94706502e-03
3.17021505e-03,8.59510712e-08,6.21112449e-03,6.23652625e-03,3.10126445e-03
2.55183284e-03,4.02138960e-07,6.66224302e-03,1.79478940e-02,2.49653694e-03
4.06612656e-03,3.64524739e-06,3.00579432e-03,1.44120101e-01,4.27804637e-03
2.54449619e-03,1.90289267e-06,5.31540943e-03,6.84435302e-02,2.55780847e-03
2.65493442e-03,9.70831040e-07,7.05343625e-03,1.48842367e-02,2.64668898e-03
2.99910266e-03,4.90673849e-07,7.36612852e-03,7.63309699e-03,2.98286112e-03
3.15768701e-03,2.56636098e-07,6.88021415e-03,5.90853015e-03,3.13612201e-03
3.01563529e-03,1.47016531e-07,6.30633386e-03,5.15101023e-03,2.98786740e-03
2.74342253e-03,1.22298692e-07,5.76498187e-03,6.12740615e-03,2.73050250e-03
2.57478480e-03,2.39691570e-07,5.29347135e-03,1.16940246e-02,2.62297001e-03
