Method,NPPI_Average
EDMD,8.98899161e-01
SINDy,3.38778109e-02
HANDI,9.99667182e-01
PSE,4.61648771e-02
gEDMD,5.41109140e-01
wSINDy,7.21161122e-03
SR3,3.38819942e-02
