Method,MSE_Average
EDMD,8.46341634e-02
SINDy,1.01476923e+00
HANDI,2.78604072e-04
PSE,1.00342591e+00
gEDMD,4.81264251e-01
wSINDy,1.04074163e+00
SR3,1.01476480e+00
