Method,r2_Average
EDMD,8.30868909e-01
SINDy,-1.02789299e+00
HANDI,9.99443244e-01
PSE,-1.00522474e+00
gEDMD,3.82518785e-02
wSINDy,-1.07979567e+00
SR3,-1.02788413e+00
