Method,MSE_Average
EDMD,3.92623744e-02
SINDy,9.55216790e-01
HANDI,1.39392225e-04
PSE,9.83305654e-01
gEDMD,4.71896363e-01
wSINDy,1.20513415e+00
SR3,9.55210414e-01
