Method,MSE_Average
EDMD,5.09413135e-03
SINDy,7.65277067e-01
HANDI,7.66099882e-05
PSE,7.74294677e-01
gEDMD,3.87639865e-01
wSINDy,1.96798857e-01
SR3,7.65273091e-01
