Method,NPPI_Average
EDMD,0.00000000e+00
SINDy,6.46063442e-01
HANDI,9.98949191e-01
PSE,6.71186330e-01
gEDMD,8.26757399e-01
wSINDy,5.08007412e-01
SR3,6.46066844e-01
