Method,C1_Count,C1_Percentage,C2_Count,C2_Percentage,C3_Count,C3_Percentage,ACR_Count,ACR_Percentage
EDMD,76,0.76000000,76,0.76000000,76,0.76000000,76,0.76000000
SINDy,0,0.00000000,60,0.60000000,0,0.00000000,0,0.00000000
HANDI,100,1.00000000,100,1.00000000,100,1.00000000,100,1.00000000
PSE,28,0.28000000,100,1.00000000,0,0.00000000,0,0.00000000
gEDMD,0,0.00000000,12,0.12000000,0,0.00000000,0,0.00000000
WSINDy,0,0.00000000,100,1.00000000,0,0.00000000,0,0.00000000
SR3,0,0.00000000,60,0.60000000,0,0.00000000,0,0.00000000
