EDMD,SINDy,HANDI,PSE,gEDMD,WSINDy,SR3
inf,1.47751570,0.03036381,0.13660113,inf,7.54610001,1.46485062
0.00557089,1.48126974,0.02968722,0.17599067,inf,6.66854138,1.46846272
inf,1.47018307,0.02951380,0.22309619,inf,5.93790678,1.45408988
inf,1.44100605,0.03069753,0.25107539,inf,5.40467812,1.41751772
0.00243129,1.39785020,0.03251007,0.26082565,inf,5.12066791,1.36436110
inf,1.32152017,0.03258529,0.26082564,inf,5.12066790,1.27518246
inf,1.16355066,0.03125147,0.25107538,inf,5.40467806,1.21072964
inf,1.28086336,0.03028212,0.22309620,inf,5.93790688,1.28509745
inf,1.26672502,0.03017817,0.17599066,inf,6.66854132,1.25973424
inf,1.23532873,0.03087961,0.13660113,inf,7.54610001,1.22360490
inf,1.48168559,0.03006099,0.04281852,inf,6.66854132,1.46899863
0.00649008,1.48856749,0.02868637,0.11792252,inf,5.67661782,1.47584590
0.00695981,1.49465969,0.02775299,0.19792511,inf,4.82282153,1.48136032
0.00835301,1.47365488,0.02892557,0.25104419,inf,4.17596374,1.45368145
0.00993631,1.42681593,0.03119270,0.26910223,inf,3.82009078,1.39494741
0.00918524,1.32223666,0.03058521,0.26910224,inf,3.82009081,1.27358132
0.00700710,1.25958589,0.02855353,0.25104417,inf,4.17596365,1.28588925
0.00520599,1.29101854,0.02797560,0.19792510,inf,4.82282145,1.29184971
0.00197192,1.24491719,0.02872151,0.11792252,inf,5.67661782,1.23298770
inf,1.20492110,0.02991465,0.04281853,inf,6.66854138,1.19027032
0.00371875,1.45737022,0.03045576,0.02363159,inf,5.93790688,1.41849156
0.00641741,1.49746945,0.02824617,0.03122237,inf,4.82282145,1.48355846
0.00508655,1.51522058,0.02601703,0.13643677,2.22121127,3.82009071,1.50236204
0.00506103,1.52820880,0.02614037,0.24400054,2.25390275,3.01480070,1.51286396
0.00685876,1.49293526,0.02843408,0.28659495,2.22426283,2.54419241,1.46429506
0.00547522,1.34432943,0.02660750,0.28659493,1.70626393,2.54419237,1.29252363
0.00374743,1.33049508,0.02432010,0.24400054,1.79897190,3.01480070,1.33482179
0.00445488,1.27282784,0.02516851,0.13643677,1.76654003,3.82009071,1.26154227
0.00531104,1.20530315,0.02700900,0.03122238,inf,4.82282153,1.18924677
inf,1.16317424,0.02889385,0.02363160,inf,5.93790678,1.14495707
0.00635745,1.12034004,0.03170809,0.01456404,inf,5.40467806,0.95843329
0.00692697,1.29343932,0.02902019,0.01751527,1.69752705,4.17596365,1.15461406
0.00346665,1.48913930,0.02511681,0.00104675,1.97481121,3.01480070,1.43348522
0.00023063,1.60967546,0.02166799,0.16111561,2.33652657,2.00066233,1.59633322
0.00386955,1.69027384,0.02228519,0.31561284,2.48468601,1.33380570,1.66957517
0.00162736,1.40437211,0.01960644,0.31561283,1.81014371,1.33380567,1.36698101
0.00008159,1.37170658,0.02062493,0.16111561,1.87264093,2.00066233,1.36175408
0.00416160,1.21714247,0.02515623,0.00104675,1.70666440,3.01480070,1.19807013
0.00686325,1.15025025,0.02790191,0.01751525,inf,4.17596374,1.12966522
0.00239995,1.11389635,0.02964132,0.01456405,inf,5.40467812,1.09202337
0.00695478,0.87837774,0.03299644,0.15225463,inf,5.12066790,0.90118621
0.00831708,0.90416264,0.03097697,0.14775486,1.45155596,3.82009081,0.90463690
0.00450150,0.96822654,0.02709476,0.14502962,1.59634550,2.54419237,0.92744981
0.00123900,1.19723159,0.02028868,0.12195990,1.83656956,1.33380567,1.04571319
0.03923622,2.58624664,0.00912100,0.05777487,3.40469614,0.37452673,2.56781381
0.03925547,2.28973463,0.00782043,0.05777487,2.95104756,0.37452673,2.29545268
0.00348174,1.33878272,0.02165508,0.12195991,1.82058261,1.33380570,1.31284620
0.00568341,1.14481218,0.02816021,0.14502964,1.55305256,2.54419241,1.12009812
0.00841039,1.08466494,0.03094870,0.14775485,inf,3.82009078,1.06149709
0.00416110,1.05910920,0.03219249,0.15225463,inf,5.12066791,1.03579379
0.00679134,0.93240873,0.03219249,0.15225463,inf,5.12066791,0.95931208
0.00877610,0.95516957,0.03094870,0.14775485,1.56006833,3.82009078,0.98204219
0.00566197,1.00847157,0.02816021,0.14502964,1.61000101,2.54419241,1.03562489
0.00330281,1.18007522,0.02165508,0.12195991,1.81658779,1.33380570,1.20753452
0.03928767,2.04391456,0.00782043,0.05777487,2.74711098,0.37452673,2.04414093
0.03952382,2.41667831,0.00912100,0.05777487,3.38493616,0.37452673,2.46088157
0.00148347,1.24188551,0.02028868,0.12195990,2.06004962,1.33380567,1.36013876
0.00453268,1.02766134,0.02709476,0.14502962,1.78922228,2.54419237,1.11756346
0.00794707,0.98804012,0.03097697,0.14775486,inf,3.82009081,1.04223729
0.00392355,0.98574764,0.03299644,0.15225463,inf,5.12066790,1.00198332
0.00593839,0.97435665,0.02964132,0.01456405,inf,5.40467812,1.00043293
0.00757881,1.00550079,0.02790191,0.01751525,inf,4.17596374,1.03055578
0.00439674,1.06286565,0.02515623,0.00104675,1.65199037,3.01480070,1.08632520
0.00008166,1.19343300,0.02062493,0.16111561,1.72927684,2.00066233,1.20732380
0.00163655,1.21253899,0.01960644,0.31561283,1.75539885,1.33380567,1.20153604
0.00406208,1.48059878,0.02228519,0.31561284,2.04458180,1.33380570,1.54055934
0.00042427,1.48573807,0.02166799,0.16111561,2.19084713,2.00066233,1.51830095
0.00339964,1.40829417,0.02511681,0.00104675,2.10626935,3.01480070,1.44592893
0.00634190,1.26952740,0.02902019,0.01751527,inf,4.17596365,1.33753511
