epoch,step,train/loss,train/rollout_avg,train/step1,val/loss,val/rollout_avg,val/step1
0,10,,,,0.7972245812416077,1.0343104600906372,0.4869314134120941
0,10,64.69482421875,165.34547424316406,15.091187477111816,,,
1,21,,,,37.79803466796875,120.45543670654297,1.6614006757736206
1,21,43.83578872680664,85.63473510742188,18.145370483398438,,,
2,32,,,,74.9661865234375,203.50892639160156,13.913498878479004
2,32,311.98516845703125,1007.19775390625,9.825785636901855,,,
3,43,,,,990.2334594726562,3300.762939453125,0.004626395646482706
3,43,1495.189208984375,4983.9169921875,0.013960693962872028,,,
4,54,,,,31223.173828125,104077.15625,0.0253766980022192
4,54,119743.1171875,399143.5,0.05592186003923416,,,
5,65,,,,43877.52734375,146258.375,0.010858120396733284
5,65,46843.9140625,156146.3125,0.014721313491463661,,,
6,76,,,,171979.5,573264.875,0.030312184244394302
6,76,91280.234375,304267.375,0.011804351583123207,,,
7,87,,,,556421.125,1854735.75,0.35217899084091187
7,87,625532.875,2085109.0,0.1399441510438919,,,
8,98,,,,455977.5,1519924.875,0.004815817344933748
8,98,116608.625,388695.40625,0.00454016262665391,,,
9,109,,,,11014.1337890625,36713.765625,0.003505103290081024
9,109,28908.185546875,96360.609375,0.004573667421936989,,,
10,120,,,,36910.453125,123034.8359375,0.003706263843923807
10,120,19405.23828125,64684.1015625,0.005537001881748438,,,
11,131,,,,9705.888671875,32352.93359375,0.008489634841680527
11,131,11159.7587890625,37199.16796875,0.008027861826121807,,,
12,142,,,,9339.4111328125,31131.345703125,0.006516084540635347
12,142,5792.2734375,19307.560546875,0.005297997500747442,,,
13,153,,,,27858.66796875,92862.140625,0.02790408581495285
13,153,23536.171875,78453.859375,0.016028113663196564,,,
14,164,,,,21781.5,72604.5625,0.13046717643737793
14,164,22471.42578125,74904.5546875,0.05617572367191315,,,
15,175,,,,10.321022987365723,34.371131896972656,0.00968348141759634
15,175,33.09756851196289,110.26543426513672,0.017939215525984764,,,
16,186,,,,4.925650119781494,6.799227714538574,2.8858819007873535
