val/loss,val/step1,val/rollout_avg,epoch,step,train/loss,train/main,train/align,train/step1,train/rollout_avg
0.008947712369263172,0.006958897691220045,0.006629382260143757,0,0,,,,,
,,,0,0,0.022115157917141914,0.00014517091040033847,0.021969987079501152,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,1,1,,,,,
,,,1,1,0.022143520414829254,0.00011632672976702452,0.022027194499969482,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,2,2,,,,,
,,,2,2,0.02025248482823372,8.851149323163554e-05,0.020163973793387413,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,3,3,,,,,
,,,3,3,0.018454542383551598,7.315599214052781e-05,0.018381386995315552,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,4,4,,,,,
,,,4,4,0.019346730783581734,7.554999319836497e-05,0.019271180033683777,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,5,5,,,,,
,,,5,5,0.018391132354736328,8.349106792593375e-05,0.0183076411485672,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,6,6,,,,,
,,,6,6,0.01752367801964283,8.186333434423432e-05,0.01744181476533413,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,7,7,,,,,
,,,7,7,0.01809917390346527,6.83437247062102e-05,0.01803082972764969,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,8,8,,,,,
,,,8,8,0.018087336793541908,6.200902862474322e-05,0.01802532747387886,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,9,9,,,,,
,,,9,9,0.01742606982588768,6.581115303561091e-05,0.017360258847475052,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,10,10,,,,,
,,,10,10,0.016222897917032242,7.451995043084025e-05,0.01614837720990181,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,11,11,,,,,
,,,11,11,0.015688497573137283,6.039098298060708e-05,0.015628106892108917,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,12,12,,,,,
,,,12,12,0.015472747385501862,7.656338129891083e-05,0.015396184287965298,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,13,13,,,,,
,,,13,13,0.014888610690832138,8.404553955188021e-05,0.014804565347731113,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,14,14,,,,,
,,,14,14,0.01346652489155531,9.466936899116263e-05,0.013371855951845646,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,15,15,,,,,
,,,15,15,0.012525278143584728,7.594626367790624e-05,0.01244933158159256,,
0.008947712369263172,0.006958897691220045,0.006629382260143757,16,16,,,,,
