Method,ts_omega_n,ts_zeta,truth_ts_omega_n,truth_ts_zeta,wn_Err%,ts_relerr_zeta,ts_success
EDMD,nan,nan,2.0120703816719177,0.07437672621375134,nan,nan,0
gEDMD,nan,nan,2.0120703816719177,0.07437672621375134,nan,nan,0
HANDI,2.0107216108493167,0.08013664514892022,2.0120703816719177,0.07437672621375134,0.06703397827864418,0.07744249079497582,1
PSE,2.0083326150453136,0.06317239754301285,2.0120703816719177,0.07437672621375134,0.18576719088217,0.1506429395472229,1
SINDy,2.014470765309574,0.09663804995727462,2.0120703816719177,0.07437672621375134,0.11929918851357004,0.2993049691316938,1
SR3,nan,nan,2.0120703816719177,0.07437672621375134,nan,nan,0
wSINDy,nan,nan,2.0120703816719177,0.07437672621375134,nan,nan,0
