Method,ts_omega_n,ts_zeta,truth_ts_omega_n,truth_ts_zeta,wn_Err%,ts_relerr_zeta,ts_success
EDMD,nan,nan,2.0505652709038102,0.09033472737852168,nan,nan,0
gEDMD,nan,nan,2.0505652709038102,0.09033472737852168,nan,nan,0
HANDI,2.0501173809181337,0.09924331634854021,2.0505652709038102,0.09033472737852168,0.021842269155332097,0.09861754419969249,1
PSE,nan,nan,2.0505652709038102,0.09033472737852168,nan,nan,0
SINDy,nan,nan,2.0505652709038102,0.09033472737852168,nan,nan,0
SR3,2.0574513454957835,0.12885545114987917,2.0505652709038102,0.09033472737852168,0.33581347980881854,0.4264220957898892,1
wSINDy,nan,nan,2.0505652709038102,0.09033472737852168,nan,nan,0
