Method,MSE_Average
EDMD,2.19874226e-08
SINDy,1.65977308e-03
HANDI,1.81585541e-05
PSE,9.46484256e-13
gEDMD,1.80571360e-02
wSINDy,9.46484255e-13
SR3,6.59073342e-03
