Method,MSE_Average
EDMD,7.52016336e-09
SINDy,7.67930160e-04
HANDI,6.75932371e-06
PSE,5.30797371e-13
gEDMD,1.35175582e-02
wSINDy,5.30797370e-13
SR3,2.56488312e-03
