Method,r2_Average
EDMD,9.99999990e-01
SINDy,9.99242047e-01
HANDI,9.99991708e-01
PSE,1.00000000e+00
gEDMD,9.91754017e-01
wSINDy,1.00000000e+00
SR3,9.96990272e-01
