Method,NPPI_Average
EDMD,9.99999914e-01
SINDy,9.93985850e-01
HANDI,9.99901696e-01
PSE,1.00000000e+00
gEDMD,7.65472233e-01
wSINDy,1.00000000e+00
SR3,9.77403236e-01
