Method,MSE_Average
EDMD,1.84168864e+00
SINDy,1.37922375e+00
HANDI,2.79977019e-03
PSE,4.51956080e+00
gEDMD,2.01396894e+00
wSINDy,4.39442688e-04
SR3,1.00996094e+00
