Method,MSE_Average
EDMD,1.34825459e+00
SINDy,7.16677338e-01
HANDI,1.82830554e-04
PSE,6.41608692e-01
gEDMD,1.46638837e+00
wSINDy,1.01241860e-04
SR3,5.35102237e-01
