Method,r2_Average
EDMD,6.25280299e-01
SINDy,7.19375850e-01
HANDI,9.99430344e-01
PSE,8.04262834e-02
gEDMD,5.90227240e-01
wSINDy,9.99910589e-01
SR3,7.94508011e-01
