SINDy,HANDI,PSE,gEDMD,SR3
1.53349638e-01,2.15031508e-03,1.38266760e-01,1.72461703e-01,1.53119139e-01
1.35038859e-01,5.42059598e-04,1.25146116e-01,1.48969266e-01,1.35110711e-01
1.24565643e-01,9.15962541e-05,1.16146276e-01,1.37537765e-01,1.24811930e-01
1.24133955e-01,4.32788986e-05,1.14902637e-01,1.43238587e-01,1.24314597e-01
1.32432010e-01,4.24740891e-04,1.22397760e-01,1.59458964e-01,1.31929261e-01
1.53606936e-01,3.18029025e-03,1.35869264e-01,1.71840201e-01,1.52188629e-01
1.64547823e-01,1.57250038e-03,1.40031923e-01,1.97211431e-01,1.65067631e-01
1.44006693e-01,2.62824485e-04,1.21864770e-01,1.75059475e-01,1.44286249e-01
1.11565518e-01,2.04918802e-05,9.49609499e-02,1.34144281e-01,1.11265142e-01
8.86117951e-02,1.47023095e-05,7.11841160e-02,1.02274408e-01,8.86888333e-02
8.57890793e-02,1.17872153e-05,6.98671329e-02,1.06473209e-01,8.57266785e-02
1.10787234e-01,2.44456508e-05,9.28810622e-02,1.29626421e-01,1.09321168e-01
1.43936134e-01,6.44728438e-04,1.20433371e-01,1.56465749e-01,1.42873437e-01
1.58614303e-01,6.89447557e-04,1.32460041e-01,1.82132129e-01,1.59352303e-01
1.36284120e-01,2.72835828e-05,1.09236550e-01,1.66731955e-01,1.37104117e-01
9.67988883e-02,1.55751043e-05,6.87820436e-02,1.31707791e-01,9.78369622e-02
3.18761523e-02,4.41683497e-06,1.86056158e-02,2.73337176e-02,3.16214447e-02
3.06867448e-02,4.53388600e-06,1.84260151e-02,2.45348382e-02,3.01242403e-02
9.92519395e-02,1.69298392e-05,6.84865573e-02,1.11881866e-01,9.84007096e-02
1.38333144e-01,7.49152589e-05,1.08860060e-01,1.53198834e-01,1.37768267e-01
1.56317415e-01,1.25403719e-03,1.32062127e-01,1.71320331e-01,1.57149911e-01
1.33982477e-01,7.49152589e-05,1.08860060e-01,1.49988156e-01,1.34897822e-01
9.61685154e-02,1.69298392e-05,6.84865573e-02,1.10846190e-01,9.72553664e-02
3.25840453e-02,4.53388600e-06,1.84260151e-02,2.74835404e-02,3.31431988e-02
3.53788794e-02,4.41683497e-06,1.86056158e-02,2.52472506e-02,3.56239192e-02
1.02128408e-01,1.55751043e-05,6.87820436e-02,1.36114058e-01,1.01882470e-01
1.41343069e-01,2.72835828e-05,1.09236550e-01,1.73730434e-01,1.41202745e-01
1.40482090e-01,6.44728438e-04,1.20433371e-01,1.52009554e-01,1.41450805e-01
1.11110353e-01,2.44456508e-05,9.28810622e-02,1.29246068e-01,1.12044880e-01
9.14547164e-02,1.17872153e-05,6.98671329e-02,1.15362573e-01,9.18297405e-02
9.55456924e-02,1.47023095e-05,7.11841160e-02,1.10377267e-01,9.55166277e-02
1.17873145e-01,2.04918802e-05,9.49609499e-02,1.44572226e-01,1.18125924e-01
1.49723093e-01,2.62824485e-04,1.21864770e-01,1.86759450e-01,1.50002934e-01
1.51795252e-01,3.18029025e-03,1.35869264e-01,1.66216663e-01,1.52725506e-01
1.35723204e-01,4.24740891e-04,1.22397760e-01,1.60898174e-01,1.36170802e-01
1.30125616e-01,4.32788986e-05,1.14902637e-01,1.53195534e-01,1.30303612e-01
1.31387883e-01,9.15962541e-05,1.16146276e-01,1.47134056e-01,1.31272737e-01
1.41959224e-01,5.42059598e-04,1.25146116e-01,1.56644696e-01,1.41798715e-01
1.59583116e-01,2.15031508e-03,1.38266760e-01,1.83377923e-01,1.59766067e-01
1.62763091e-01,8.63629186e-03,1.49613289e-01,1.85660195e-01,1.63378317e-01
1.55796344e-01,2.55266217e-03,1.43720423e-01,1.82420873e-01,1.56147187e-01
1.52713074e-01,9.68511821e-04,1.41340071e-01,1.75796785e-01,1.52802617e-01
1.53153100e-01,1.25729395e-03,1.42322413e-01,1.72474567e-01,1.53024186e-01
1.58355266e-01,3.22365326e-03,1.46238459e-01,1.75347745e-01,1.58144216e-01
