Method,MSE_Average
EDMD,4.75467662e-01
SINDy,9.81682980e-01
HANDI,7.70835501e-05
PSE,1.04483396e+00
gEDMD,4.79763777e-01
wSINDy,2.38913291e-01
SR3,9.81695110e-01
