Method,MSE_Average
EDMD,2.80130735e-02
SINDy,1.06246103e+00
HANDI,1.58827550e-05
PSE,1.03891887e+00
gEDMD,3.78653632e-01
wSINDy,7.42017245e-03
SR3,1.06246498e+00
