Method,r2_Average
EDMD,7.48731894e-02
SINDy,-9.10079940e-01
HANDI,9.99850017e-01
PSE,-1.03295405e+00
gEDMD,6.65141549e-02
wSINDy,5.35141696e-01
SR3,-9.10103542e-01
