Method,MSE_Average
EDMD,2.44560343e-01
SINDy,1.00924130e+00
HANDI,3.79544033e-05
PSE,1.04521676e+00
gEDMD,4.69645652e-01
wSINDy,1.11408816e-01
SR3,1.00925360e+00
