Method,r2_Average
EDMD,-1.02184352e+00
SINDy,-1.00133271e+00
HANDI,9.98608665e-01
PSE,-1.07663076e+00
gEDMD,2.57065373e-02
wSINDy,-5.19194475e-01
SR3,-1.00129973e+00
