Method,NPPI_Average
EDMD,7.27712635e-02
SINDy,1.70647284e-01
HANDI,9.98057167e-01
PSE,1.30907918e-01
gEDMD,5.95543888e-01
wSINDy,1.70969199e-01
SR3,1.70664782e-01
