Method,MSE_Average
EDMD,1.11075236e+00
SINDy,9.04918576e-01
HANDI,4.03351059e-04
PSE,9.24100662e-01
gEDMD,4.40001287e-01
wSINDy,7.30335756e-01
SR3,9.04918125e-01
