Method,MSE_Average
EDMD,1.03323289e+00
SINDy,9.95389099e-01
HANDI,4.91496850e-04
PSE,1.05351775e+00
gEDMD,4.70000655e-01
wSINDy,7.40004543e-01
SR3,9.95404410e-01
