Method,MSE_Average
EDMD,4.45546554e-01
SINDy,9.43884336e-01
HANDI,3.18128879e-04
PSE,9.42408275e-01
gEDMD,3.80035279e-01
wSINDy,7.10508528e-01
SR3,9.43893535e-01
